Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
87.30415291403867,56.98321789524682,117.62508793283052,40.9322844600704,133.67602136800693
103.94961906683584,73.19624853684678,134.7029895968249,56.916397569907865,150.9828405637638
73.18702192756275,42.4336513975737,103.94039245755181,26.15380043063478,120.22024342449072
8.033796496042143,-22.719574033946916,38.7871670260312,-38.99942500088583,55.067017992970115
100.04456989174739,69.29119936175833,130.79794042173646,53.011348394819414,147.07779138867537
80.81716636322501,50.06379583323596,111.57053689321407,33.78394486629704,127.85038786015298
86.67647749827881,55.92310696828976,117.42984802826787,39.64325600135085,133.7096989952068
88.01264844730804,54.80351382086316,121.22178307375292,37.22365986851898,138.8016370260971
102.7132993412027,69.43629504958218,135.9903036328232,51.82051306674268,153.60608561566272
73.4032302562902,40.12622596466968,106.68023454791071,22.51044398183018,124.29601653075022
8.56611469951099,-24.71088959210953,41.84311899113151,-42.32667157494903,59.45890097397101
100.66398984112247,67.38698554950196,133.940994132743,49.77120356666245,151.5567761155825
80.38331328469889,47.106308993078365,113.66031757631941,29.490527010238864,131.27609955915892
86.92146328128784,53.644458989667335,120.19846757290836,36.028677006827834,137.81424955574784
88.06927255210448,53.45332011054698,122.68522499366198,35.12874179228868,141.00980331192028
102.7132993412027,68.05964697510882,137.36695170729658,49.715111522320534,155.71148716008486
73.4032302562902,38.74957789019631,108.05688262238408,20.405042437408035,126.40141807517236
8.56611469951099,-26.087537666582897,43.21976706560488,-44.432073119371175,61.564302518393156
100.66398984112247,66.01033747502859,135.31764220721635,47.66580202224031,153.66217766000463
80.38331328469889,45.729660918605,115.03696565079278,27.38512546581672,133.38150110358106
86.92146328128784,52.26781091519397,121.57511564738172,33.92327546240569,139.91965110017
88.06927255210448,52.127920725528384,124.01062437868057,33.10171835475415,143.0368267494548
102.7132993412027,66.73563640993882,138.69096227246658,47.69021210145257,157.73638658095282
73.4032302562902,37.42556732502633,109.38089318755408,18.380143016540075,128.42631749604033
8.56611469951099,-27.41154823175288,44.54377763077486,-46.456972540239136,63.589201939261116
100.66398984112247,64.6863269098586,136.64165277238635,45.640902601372346,155.6870770808726
80.38331328469889,44.405650353435014,116.36097621596275,25.36022604494876,135.406400524449
86.92146328128784,50.943800350023984,122.89912621255169,31.89837604153773,141.94455052103797
88.06927255210448,50.84968928190547,125.28885582230349,31.146832058514534,144.99171304569444
102.7132993412027,65.45865080331964,139.96794787908576,45.73723114848871,159.68936753391668
73.4032302562902,36.14858171840715,110.65787879417326,16.427162063576212,130.37929844900418
